,ticker,roc,yield,market_cap,roc_rank,yield_rank,magic_rank
0,SCPL,98.125,0.8821274549888005,395278816,3,19,22
1,BWMX,2.4134453953681074,0.5215989782295393,1323569408,82,31,113
2,JFIN,1.54509857184966,0.863142039592553,386818976,110,20,130
3,EDTK,1.5331729987260054,0.2783202775706274,41760000,112,55,167
4,SPKE,2.2723597000793307,0.1808626746905274,371986656,85,103,188
5,WIMI,1.8276932315863836,0.1985480943400193,559266560,102,88,190
6,SPKEP,2.2723597000793307,0.17310834726239785,393979200,85,115,200
7,VHC,0.8402892571189242,0.9789998835532505,375189408,186,16,202
8,SJ,0.8939947570999994,0.489227619108535,350444416,175,34,209
9,CIH,0.7989375347070358,1.1936370916226653,201707728,194,15,209
10,NVO,1.008964291006075,0.25394075326055376,157006479360,154,63,217
11,UWMC,1.3465861254231861,0.17963129740116132,12440068096,126,104,230
12,HNNA,1.2505800464037122,0.18574483926696117,65801436,134,99,233
13,QDEL,0.9913327874648752,0.19882302427758552,5511640064,159,87,246
14,CIXX,4.2886181960750145,0.11660398925568811,3135681792,48,205,253
15,GBL,1.1008470758852547,0.17685150703225047,508683712,144,111,255
16,KARO,0.6590268547267938,0.5965874893422093,778123712,234,26,260
17,BPT,59.74803149606299,0.10177175123056909,74686000,4,260,264
18,FHI,1.5129239541800237,0.13409088592645893,3079787776,113,157,270
19,MSGN,1.020593249469631,0.15905869512497203,927036480,152,128,280
20,QIWI,0.5072510705674907,4.995917864433721,663503552,307,4,311
21,FHS,3.930238152513832,0.10213347310870287,221438432,57,258,315
22,ONEW,1.8697591248553698,0.10772597678355936,623421056,101,228,329
23,SIGA,0.6103351858565489,0.19764861187736738,534936320,248,90,338
24,CODX,0.6248437184088261,0.1839222143917636,265157728,244,100,344
25,APT,0.5021943773056863,0.2833542453108829,128897656,312,54,366
26,OMAB,0.4850606987285899,0.3291132272686634,2507143424,331,47,378
27,SDH,0.710958513361235,0.12863137354086546,86318400,216,171,387
28,RKT,0.6318768945323884,0.14025057374323965,44808880128,240,147,387
29,TGNA,0.9549140361097419,0.10748256092125488,4390477312,165,232,397
30,NLS,0.5496104388980667,0.17157027881841985,490284704,283,120,403
31,QRTEA,0.9980952380952381,0.10311928738827122,4911480832,155,249,404
32,QRTEB,0.9980952380952381,0.10303848483738094,4923435520,155,250,405
33,FORTY,4.124552837667988,0.08592707468708961,1324320640,52,358,410
34,GSS,0.48255442979233537,0.21569777290704428,351993600,334,76,410
35,GTN,0.5559815950920245,0.13703121187697181,1834765440,278,152,430
36,SGRP,0.5213986914083449,0.15696189452134857,34005600,298,132,430
37,PRG,0.5396540034106552,0.13851460670555826,2936655616,288,150,438
38,EAF,0.5939108420873135,0.12178066620935767,3353799424,256,189,445
39,SQBG,1.9057037131555443,0.08697589602372022,44325724,99,348,447
40,KUKE,0.46817142970051834,0.1812700193434252,204010240,351,102,453
41,SAMG,0.6184874382207578,0.114468489269395,207790560,245,210,455
42,SBSW,0.3855315156167368,1.4571012576340687,13623529472,444,12,456
43,TUP,0.9588859416445623,0.09394497805923484,1281498240,164,302,466
44,SBS,0.44096202226021547,0.1833879370970607,5100766208,379,101,480
45,ICON,2.21227350269722,0.08209701573155875,31046862,87,398,485
46,NRT,7.055687832107777,0.07609165925167512,43655304,35,463,498
47,GILD,0.7118740877070509,0.09616824567698089,82594332672,215,286,501
48,WLKP,0.3854615977653387,0.2746990344870728,862725056,445,56,501
49,FLGT,0.5179592738442981,0.11703476594309799,2481484032,300,202,502
50,LAZY,0.4997937846699524,0.12190892603208293,199872496,318,186,504
51,ZIM,0.4412326610913671,0.1660439355635261,3148699904,378,126,504
52,BTI,1.742650454055718,0.08087290295376905,88069447680,104,410,514
53,CRT,0.6441024308990854,0.0963856570361413,54540000,237,281,518
54,SBR,7.0858021882166025,0.07448134538855598,456550784,34,485,519
55,SGU,0.5384763986066756,0.10579044549589241,445398976,290,239,529
56,AMCX,0.4267230056226487,0.1437163085997298,2163787008,389,141,530
57,LFVN,0.4685672736086285,0.12193434385100226,123957752,350,185,535
58,LH,0.5873495693834484,0.09711582875571385,24634798080,260,277,537
59,UONEK,0.4686392622230427,0.11967844548972711,123299968,348,195,543
